ablation,method,method_type,regime,qlike_var_mean,qlike_var_median,qlike_var_std,rmse_vol_mean,rmse_vol_median,rmse_vol_std,mae_vol_mean,mae_vol_median,mae_vol_std,underprediction_rate_mean,underprediction_rate_median,underprediction_rate_std,underprediction_loss_mean,underprediction_loss_median,underprediction_loss_std,avg_set_size_mean,avg_set_size_median,avg_set_size_std,miss_best_rate_mean,miss_best_rate_median,miss_best_rate_std,tail_underprediction_loss_mean,tail_underprediction_loss_median,tail_underprediction_loss_std,tail_qlike_var_mean,tail_qlike_var_median,tail_qlike_var_std
no_regime_similarity_scoring,har,single_model,high,120961.32915292379,0.45717560335221685,296292.4461812637,0.004910424190679634,0.00494765103466095,0.0013525483246855587,0.0033149767313031668,0.0032582920139111,0.0009974151568399128,0.7015765765765766,0.6932432432432433,0.045805960571324106,0.06565904893079481,0.06429053669008206,0.0040641237478156395,,,,,,,0.13151831482814438,0.12768843414126307,0.018259392553772565,266890.8236027303,1.0450014067043774,653743.8694158915
no_regime_similarity_scoring,har,single_model,low,0.44650281191953045,0.44514457675810293,0.08511792691235623,0.0028347748708277168,0.00270443788203555,0.000647058534101545,0.00248325996711685,0.0023857522377798,0.0005336330755766922,0.01599099099099095,0.01486486486486485,0.012189658607448972,0.00011667917685358687,0.00010336525095997769,0.00010967804329753121,,,,,,,,,,,,
no_regime_similarity_scoring,har,single_model,mid,17170.012009762635,0.1376522732350584,42057.428303564215,0.0022981698431837334,0.00221799721262505,0.0007136881772163616,0.0016912271875282334,0.00163342947381665,0.0004967935198315253,0.215381145692377,0.213125845737483,0.031923768869913854,0.00571982394753,0.00627978211606405,0.0025970823682605663,,,,,,,,,,,,
no_regime_similarity_scoring,regime_high_branch,blend_component,all,0.34719769396938394,0.34359131612560684,0.04002856470648078,0.00414113864158195,0.004208099721697001,0.0010375742488219312,0.0029179463799050166,0.00283179030855725,0.000767860819020543,0.2729407817480288,0.276295923502768,0.018072040569010316,0.019272765063367035,0.0181895236558791,0.002504776223342838,,,,,,,0.10409938141172831,0.0925714271317329,0.02475170965187717,0.8079454470846631,0.7234400506185702,0.22838344234141622
no_regime_similarity_scoring,regime_high_branch,blend_component,high,0.37519650317203146,0.3666006004558835,0.06527169114737115,0.005420766838353234,0.00578975116541905,0.0014077039522389192,0.003644983414854617,0.0037050774795255002,0.0010452125101291794,0.5877712638109521,0.5762828275183531,0.062235732517684585,0.049761321595299356,0.045462902176703346,0.008407067052001116,,,,,,,0.10409938141172831,0.0925714271317329,0.02475170965187717,0.8079454470846631,0.7234400506185702,0.22838344234141622
no_regime_similarity_scoring,regime_high_branch,blend_component,low,0.4975146522330611,0.5018625823797702,0.07181551059974461,0.0033382101596677503,0.0030805238289232,0.0007099337976204355,0.00287009906807215,0.0026830040201691,0.0006277763268439311,0.010038583070905617,0.00713833906232025,0.008037384415156855,5.5876271020109355e-05,3.334073065316065e-05,6.509559847264033e-05,,,,,,,,,,,,
no_regime_similarity_scoring,regime_high_branch,blend_component,mid,0.18966523474395988,0.18401329656530846,0.03757263772221765,0.003003598549562917,0.0029240383322308,0.0009142443777012014,0.00218375123206915,0.00216452343956365,0.0006386267226310969,0.16517518438788326,0.15836536960218756,0.02037559190048527,0.0035266547654310165,0.0036014913553899,0.0008973827443167581,,,,,,,,,,,,
no_regime_similarity_scoring,regime_low_branch,blend_component,all,3234.3946787366635,0.3452536291430297,7921.787783183542,0.0037078155429889335,0.0036511542314178,0.000982546879973206,0.0026215667745131664,0.0025213207293463,0.0007020774864753284,0.3127830900855561,0.32335178661298436,0.017505594782695606,0.023330915518854748,0.023371023773071348,0.002205385328262841,,,,,,,0.12765879775235947,0.11652072181231879,0.02089444492684117,0.9604231452788182,0.8860716764169516,0.19849678853342007
no_regime_similarity_scoring,regime_low_branch,blend_component,high,8876.202714450103,0.44579557093796207,21741.135454677067,0.004913822509248167,0.0049837456226271,0.0013268263143366387,0.0033110348751652,0.0033007215424233,0.0009714518876847832,0.6734607474159423,0.6700699984946561,0.05273677895362848,0.06035534546439677,0.05882376738154165,0.007157911017357977,,,,,,,0.12765879775235947,0.11652072181231879,0.02089444492684117,0.9604231452788182,0.8860716764169516,0.19849678853342007
no_regime_similarity_scoring,regime_low_branch,blend_component,low,0.4579365446463492,0.4604134238509697,0.07699704481920427,0.00305134507167895,0.00285331308972885,0.000688073325955007,0.0026465313207906832,0.00247374043429075,0.0005891249429122664,0.010323526659458166,0.0087377046733435,0.009177434549408498,4.4357244866788686e-05,2.0310329577381937e-05,5.857705813075048e-05,,,,,,,,,,,,
